genus,size_category,feeding_habit,vertical_position,depth_distribution
Menticirrhus,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Merlangiogadus, NA,NA,NA,NA
Merluccius,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Microgadus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Micropogonias,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Moharra,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Mola,small,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,pelagic,neritic_twilight
Mugil,tiny,actinopterygii_herbivore_microinvertebrates,NA,neritic
Mycteroperca,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Myctophum,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight
Neobythites ,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic_twilight_midnight
Notoscopelus,tiny,actinopterygii_microinvertebrates,pelagic,twilight_midnight
Ophidion,tiny,NA,benthic,neritic
Opsanus,tiny,actinopterygii_herbivore_macroinvertebrates_actinopterygii,benthic,neritic
Orthopristis,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Otophidium,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Pagellus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Pagrus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Paraconger,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Paralichthys,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Parascombrops,tiny,NA,NA,neritic_twilight
Phthanophaneron,tiny,NA,NA,neritic
Physiculus ,tiny,NA,benthopelagic,neritic_twilight
Platybelone,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Plotosus,small,NA,NA,NA
Pogonias,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Polyipnus,tiny,NA,NA,twilight
Pomadasys,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Pomatomus,small,actinopterygii_actinopterygii,pelagic,neritic
Porichthys,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Prionotus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Pristipomoides,tiny,actinopterygii_actinopterygii,benthopelagic,neritic_twilight
Protosciaena,tiny,actinopterygii_actinopterygii,benthic,neritic_twilight
Pterothrissus,tiny,NA,NA,NA
Pythonichthys,tiny,NA,benthic,neritic
Rhechias,tiny,actinopterygii_macroinvertebrates_actinopterygii,NA,twilight
Rhomboplites,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,benthic,neritic
Rhynchoconger,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Sarda,tiny,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Sardinella,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight
Saurida ,tiny,NA,NA,neritic_twilight
Sciaenops,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Scomber,tiny,actinopterygii_microinvertebrates,pelagic,neritic
Scomberomorus,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Seriola,small,actinopterygii_cephalopoda_actinopterygii,benthopelagic,neritic
Solea,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Sparus,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Sphoeroides,tiny,actinopterygii_macroinvertebrates,NA,neritic
Sphyraena,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Stenotomus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic
Symbolophorus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic_twilight
Symphurus,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Synodus,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Tautoga,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Tetrapturus,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Thunnus,medium,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Trachinus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Trachurus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Umbrina ,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Urophycis,small,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
